Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251008,5105.530916657,10.0,#8 Kenyon Goodin,14,Assist,,,5v5,,,,,,,,
251008,5379.274128445,10.0,#8 Kenyon Goodin,15,D REB,,,5v5,,,,,,,,
251008,5385.55045779,10.0,#8 Kenyon Goodin,16,Assist,,,5v5,,,,,,,,
251008,6316.531065239,10.0,#8 Kenyon Goodin,17,D REB,,,5v5,,,,,,,,
251008,983.248965443,10.0,#2 Tyler Doyle,1,Assist,,,Scramble,,,,,,,,
251008,1345.142981264,10.0,#2 Tyler Doyle,2,D REB,,,Scramble,,,,,,,,
251008,2507.643568257,8.0,#2 Tyler Doyle,3,+2,Box Touch 1,,Kill Drill,,,Reversal 1,Shot Qual 4,,,,
251008,2507.643568257,10.0,#2 Tyler Doyle,4,Cut FG,,,Kill Drill,,,,,,,,
251008,3635.500748651,8.0,#2 Tyler Doyle,5,+3,Box Touch 0,,5v5,,,Reversal 1,Shot Qual 2,,,,
251008,4138.005442037,10.0,#2 Tyler Doyle,6,Assist,,,5v5,,,,,,,,
251008,4309.690253498,8.0,#2 Tyler Doyle,7,-3,Box Touch 0,,5v5,,,Reversal 1,Shot Qual 3,,,,
251008,5385.317440375,8.0,#2 Tyler Doyle,8,+2,Box Touch 0,,5v5,,,Reversal 0,Shot Qual 4,,,,
251008,5799.906352318,10.0,#2 Tyler Doyle,9,Assist,,,5v5,,,,,,,,
251008,5931.983470026,10.0,#2 Tyler Doyle,10,Assist,,,5v5,,,,,,,,
251008,6299.840116158,8.389929170000869,#2 Tyler Doyle,11,+2,Box Touch 1,,5v5,,,Reversal 1,Shot Qual 3,,,,
251008,6300.230045328,10.0,#2 Tyler Doyle,12,Cut FG,,,5v5,,,,,,,,
251008,982.904298931,10.0,#32 Jack Karasinki,1,Cut Assist,,,Scramble,,,,,,,,
251008,1020.750385905,8.0,#32 Jack Karasinki,2,+3,Box Touch 1,,Scramble,,,Reversal 1,Shot Qual 3,,,,
251008,1169.533184943,8.0,#32 Jack Karasinki,3,+3,Box Touch 1,,Scramble,,,Reversal 2,Shot Qual 2,,,,
251008,1197.36532994,10.0,#32 Jack Karasinki,4,Cut Assist,,,Scramble,,,,,,,,
251008,1259.251389663,10.0,#32 Jack Karasinki,5,Cut Assist,,,Scramble,,,,,,,,
251008,1311.519070981,8.0,#32 Jack Karasinki,6,-3,Box Touch 0,,Scramble,,,Reversal 1,Shot Qual 2,,,,
251008,3666.046525682,10.0,#32 Jack Karasinki,7,Turnover,,,5v5,,,,,,,,
251008,3901.937280042,8.0,#32 Jack Karasinki,8,-3,Box Touch 1,,5v5,,,Reversal 1,Shot Qual 3,,,,
251008,3946.357558346,8.0,#32 Jack Karasinki,9,-3,Box Touch 0,,5v5,,,Reversal 2,Shot Qual 1,,,,
251008,3964.821572888,10.0,#32 Jack Karasinki,10,Steal,,,5v5,,,,,,,,
251008,4497.692392485,8.0,#32 Jack Karasinki,11,+2,Box Touch 0,,5v5,,,Reversal 0,Shot Qual 4,,,,
251008,5241.979212069,8.0,#32 Jack Karasinki,12,-3,Box Touch 0,,5v5,,,Reversal 0,Shot Qual 1,,,,
251008,5555.039743634,8.0,#32 Jack Karasinki,13,-3,Box Touch 0,,5v5,,,Reversal 1,Shot Qual 3,,,,
251008,5594.257039356,8.0,#32 Jack Karasinki,14,+2,Box Touch 1,,5v5,,,Reversal 2,Shot Qual 3,,,,
251008,1068.983607818,8.0,#11 Brian Waddell,1,-3,Box Touch 1,,Scramble,,,Reversal 2,Shot Qual 3,,,,
251008,1196.80518968,8.0,#11 Brian Waddell,2,+2,Box Touch 0,,Scramble,,,Reversal 0,Shot Qual 4,,,,
251008,1196.80518968,10.0,#11 Brian Waddell,3,O REB,,,Scramble,,,,,,,,
251008,2507.643568257,10.0,#11 Brian Waddell,4,Assist,,,Kill Drill,,,,,,,,
251008,2551.648979659,10.0,#11 Brian Waddell,5,Turnover,,,Kill Drill,,,,,,,,
251008,3635.500748651,10.0,#11 Brian Waddell,6,Assist,,,5v5,,,,,,,,
251008,4131.825651788,8.0,#11 Brian Waddell,7,-3,Box Touch 1,,5v5,,,Reversal 2,Shot Qual 3,,,,
251008,4311.098060624,10.0,#11 Brian Waddell,8,Tip Out,,,5v5,,,,,,,,
251008,5105.575301906,8.0,#11 Brian Waddell,9,+2,Box Touch 1,,5v5,,,Reversal 0,Shot Qual 4,,,,
251008,5277.287034051,10.0,#11 Brian Waddell,10,D REB,,,5v5,,,,,,,,
